歌曲,歌手,連結,作詞,作曲,編曲,製作,歌詞全文,cluster_name,emo_joy,emo_sad,emo_calm,emo_angry,emo_fear_anxiety,emo_disgust,cluster
11,鄧紫棋,https://www.kkbox.com/tw/tc/song/SokMrc0c1DbhZ49D3j,隊長 / 黃禮格,隊長 / 黃禮格,,,"就把我愛意都掩埋 但你能清楚的明白 靠近我 然後別離開 可是難過的卻不是回憶 因為回憶裡 哭泣的你 Cause you know 愛意就像大雨落下怎麽能讓人不牽掛 過得好嗎想說的話你能聽到嗎 Oh 沒能陪你到最後 別再嘆息皺眉頭 怎麽能忘掉你所有 寂寞的夜 每一個夜 你總在眼前 度過的年 錯過的月 我都想紀念 好久不見 我有多恨我不在你的身邊 能不能 能不能 讓眼淚留在昨天 能不能 別把我丟在雨天 我不願不在你的身邊 一個人的淩晨時分 誰沒有個思念的人 如果愛能夠逆時針 Cuz I’m mad for you, sad for you, I long for you Cause you know 愛意就像大雨落下怎麽能讓人不牽掛 過得好嗎想說的話你能聽到嗎 Oh 沒能陪你到最後 別再嘆息皺眉頭 怎麽能忘掉你所有 多想讓大雨沖掉思念 讓回憶不再閃現 已經多少日夜 你總會突然浮現眼前 能否讓眼淚留在昨天 Cuz I’m mad for you, sad for you, I long for you Cause you know 愛意就像大雨落下怎麽能讓人不牽掛 過得好嗎想說的話你能聽到嗎 Oh 沒能陪你到最後 別再嘆息皺眉頭 怎麽能忘掉你所有 沒能陪你到最後 沒能陪你到最後 因為你已不在 你已不在身邊 我想陪你到最後 我想陪你到最後 可惜你已不在 你已不在身邊",戀愛甜系・溫柔告白群,0.3254152,0.5056168,0.41586286,0.36078203,0.36057064,0.36401266,3
18,李玟,,易家揚/李玟,劉偉德/李華章,劉偉德/李華章,,"時間 像漂浮的影片
交會成時光星月
一個夢 一滴眼淚
靜止在第一天
孤單看臺北的雲飛
在幻想未知的臉
一顆心 一個夏天
追上風的預言
是誰給我信念 說天空沒界線
一天 一月 一年
讓我勇敢跨越
走過愛 走過痛 走過昨天
走過夢 走過多少黑夜
帶著夢想讓我去看世界
不為誰停留在那一邊
走過謎 走過怕 走過陰天
走過雨 走過黑白是非
再看一眼 青春的蝴蝶
回到 18 歲的那一年
孤單看臺北的雲飛
在幻想未知的臉
一顆心 一個夏天
追上風的預言
是誰給我信念 說天空沒界線
一天 一月 一年
讓我勇敢往前
走過愛 走過痛 走過昨天
走過夢 走過多少黑夜
帶著夢想讓我去看世界
不為誰停留在那一邊
走過謎 走過怕 走過陰天
走過雨 走過黑白是非
再看一眼 青春的蝴蝶
回到 18 歲的那一年
回去看看過去的無畏
未來應該會特別甜美
讓自己去發現無限的明天
走過愛 走過痛 走過昨天
走過夢 走過多少黑夜
帶著夢想讓我去看世界
不為誰停留在那一邊
走過謎 走過怕 走過陰天
走過雨 走過黑白是非
再看一眼 青春的蝴蝶
回到 18 歲的那一年
回頭 18 停在風裡面",能量爆發・搖滾帶感群,0.27895206,0.4147054,0.28768614,0.29322353,0.3474576,0.27775538,4
21,陳佩賢,https://www.kkbox.com/tw/tc/song/9ayGjhB91jmuIWF66r,陳佩賢,陳佩賢,,,Before I’m 21 平淡也很迷惘 以為有些事情都會隨著長大而被遺忘 但卻不斷擴散 When I was 21 開始學會坦然 面對隨時隨地都在變遷的世界和眼光 我都決定不管 尖銳的聲音無法驅散 勸自己要懂得堅強把所有傾翻 這不過是短暫 不斷往上攀 ah~~ 直到我站在最頂端 看見夜晚有多麼燦爛 不斷往前盼 ah~~ 無論是走到哪一方 我依然還是那副模樣 勇敢的笨蛋 When I was 21 開始學會坦然 面對隨時隨地都在變遷的世界和眼光 我都決定不管 尖銳的聲音無法驅散 勸自己要懂得堅強把所有傾翻 這不過是短暫 不斷往上攀 ah~~ 直到我站在最頂端 看見夜晚有多麼燦爛 不斷往前盼 ah~~ 無論是走到哪一方 我依然還是那副模樣 勇敢的笨蛋 Wu ~ Wu ~ Wu ~ Wu ~ When I was 21 對世界很坦然 以為有些事情都會漸漸遺忘 When I was 21 對自己很坦然 繼續勇敢當個笨蛋 不斷往前盼 ah~~ 無論是走到哪一方 我依然還是那副模樣 Always twenty one,正能量・勵志流行群,0.34992692,0.46087387,0.41077977,0.41228062,0.43087718,0.36222833,5
520,蕭秉治,https://www.kkbox.com/tw/tc/song/Xa6AzfA7iLniIS5vEb,吳聖皓 / 蕭秉治,蕭秉治,王士榛 Helix Wang,韋恩林 W. LIN,嘿 你睡了嗎 還是裹著棉被發著呆不講話 想著明天能更幸福的方法 嘿 你睡了嗎 還是播著情歌讓它替妳說話 讓它柔軟的回答你還好嗎 應該愛情都一樣 酸甜可以別苦別太辣 我們的日常就是最寫實的童話 我愛你 老梗又深情 我想你 苦澀又甜蜜 只為了你難得浪漫過頭難得都不像自己 我愛你 老梗又深情 我想你 苦澀又甜蜜 我的浪漫就算笨得可以但就是因為愛你 我可以 嘿 你睡了嗎 輕輕點你肩膀想跟你說說話 不用轉過身就靜靜聽我講 應該愛情都一樣 酸甜可以別苦別太辣 我們的日常就是最寫實的童話 我愛你 老梗又深情 我想你 苦澀又甜蜜 只為了你難得浪漫過頭難得都不像自己 我愛你 老梗又深情 我想你 苦澀又甜蜜 我的浪漫就算笨得可以但就是因為愛你 我可以 躲在幸福裡憋住呼吸 一個你 一個我 兩個把手牽緊時間暫停 我愛你 老梗又深情 我想你 苦澀又甜蜜 只為了你難得浪漫過頭難得都不像自己 我愛你 老梗又深情 我想你 苦澀又甜蜜 我的浪漫就算笨得可以但就是因為愛你 我可以,心碎系・失戀情緒群,0.42774552,0.40267467,0.4323079,0.3064341,0.26199794,0.29282865,2
2030,頑童,https://www.kkbox.com/tw/tc/song/OnVzxWxLo9axOBRY-g,頑童MJ116,頑童MJ116,剃刀蔣 RAZOR Chiang / 梯依恩TeN,梯依恩TeN,十年的計劃今天都兌現 很抱歉 我曾經說過我不會變 我變得更強大 我自認沒有虧欠 年輕的兄弟 我會一直伴在你的身邊 我知道你才20 太多抱負願景 你認為這個星球上沒有人擋得住你 你笑我變得顧慮 笑我變得不再像你 那是因為現在的你想的只有自己 這個世界雖大 但沒留給我太多的縫隙 我曾經因為害怕 我也做了錯的決定 留下那些真的兄弟 讓你一直保持冷靜 WHERE’S MY HOMIES AT SOUTHSIDE I NEED MY FLOW BACK 你會遇到很多新的選項 你無法想像 其實很多事情都是假象 你不能怎樣 那些金曲獎的獎項 都是舊時代的榜樣 其實不拿也不怎樣 08依然巡迴演唱 記得心存感激 記得禱告 即使再強的人 靈魂需要被神擁抱 照顧身體健康 不要嫌我老套 那個很酷的女孩 希望你有天也會找到 學會戰爭 學會取捨 不要害人 現在才懂 最強大的力量是去愛人 爬得越高身段放得越低 會吠的狗不攻擊 難在贏要如何謙虛 SALUTE TO THE SOLDIER 十年最大的陣仗 告訴你的團員 我們最後打了勝仗 但要了解會有痛苦在這路上 還有永遠不要忘記你他媽的來自木柵 WHAT’S UP 要時間過快一點 我想要見到大場面 房間三坪的空間 幻想最大的照片 是頑童你知道的 大家知道了又如何 台下千萬張的臉 我需要你的無畏 BOY I TOLD YOU I’M THE MAN 早就說過 BOY YOU WILL BE THE MAN ON TOP OF THE WORLD I TOLD YOU I’M THE MAN 扛下所有 BOY YOU WILL BE THE MAN ONE DAY 別害怕那些不完美 臭小子看到了嗎 十年奮鬥下來的同時 台下群眾正烈著喊著你們的名字 放下七仔懶的個性 出頭顛覆明日 肩負曾經發的誓 場次永遠不會停止 我曾說了 不要怕輸 做就對了 即使趴著 也要爬上山頭看著 那些看不起的LOSER 全部給我跪著 你會的 告訴現在的我你是對的 雖然沒有天賦 會比別人艱苦 免羨慕 版圖自我建築 名聲遍佈 即使會有變數 讓你感到厭惡 勤練武 顛覆他們瞧你的真面目 往後十年要對家庭有所交代 別把孩子教壞 攜手兄弟WORLDWIDE 不要害怕重來切記挺起你的胸懷 隨時保持戰鬥坐擁名利回收金塊 BOY I TOLD YOU I’M THE MAN 早就說過 BOY YOU WILL BE THE MAN ON TOP OF THE WORLD I TOLD YOU I’M THE MAN 扛下所有 BOY YOU WILL BE THE MAN ONE DAY 別害怕那些不完美 偉大理想抱負 不懂得怎麼保護 只想著好處 多少人需要你幫忙照顧 你從沒想過退路 沒想過後顧 沒想太多 所以人與人的關係就斷了後路 我瞭你不想解釋 不想這麽做作 也懂你自私 不想在這染缸裡面攪和 不懂得天高地厚 不覺得自己做錯 等感受孤獨寂寞 才知道是哪裡錯過 記住世界不會為你一人轉動 第一次電視轉播你的家人比誰都還感動 記得飛得再遠也要回過頭來感受 那些日子甘苦是如何與現實纏鬥 你為我編了髒辮 我為什麼變得商業 為了幾個臭錢 把自己變得這麼犯賤 難道你夢想 一輩子在地下做這音樂 如果沒走出這一步 怎麼會被人看見 你說我變了 我真的變了 經歷各種險惡 十年檢測 堅持是我會的 打破老舊的規則 來證明我是對的 只要我活著 這夢想我依然持續揹著 BOY I TOLD YOU I’M THE MAN 早就說過 BOY YOU WILL BE THE MAN ON TOP OF THE WORLD I TOLD YOU I’M THE MAN 扛下所有 BOY YOU WILL BE THE MAN ONE DAY 別害怕那些不完美 要時間過快一點 我想要見大場面 房間三坪的空間 幻想最大的照片 是頑童你知道的 大家知道又如何 千萬張的臉 有一天我會想念,正能量・勵志流行群,0.32266533,0.4510242,0.29259998,0.3841135,0.3693087,0.35574186,5
​你是心動的理由,丁噹,https://www.kkbox.com/tw/tc/song/9-BPhIDfF6qQ1MsTMe,肆一,​張簡君偉,吳慶隆Kheng-Long Goh,,每一次看著你厚實肩膀 幸福不再流浪 你怎麼好像 不能擁抱的光 睜開眼是海洋 多少次要放棄交換簡單 愛能反覆練習飛翔 可是我 記得相愛模樣 該怎麼照亮過往 你是心動的理由 一句玩笑變成了天堂 只有你能讓美夢都猖狂 都瘋狂 你是心動的理由 將一個逗點變成了遠方 你還是我 最想要一起去的流浪 多少次要放棄交換簡單 愛能反覆練習飛翔 可是我 記得相愛模樣 該怎麼照亮過往 你是心動的理由 一句玩笑變成了天堂 只有你能讓美夢都猖狂 都瘋狂 你是心動的理由 將一個逗點變成了遠方 你還是我 最想要一起去的流浪 再一次 牽著手走過這世界荒涼 雙眼抓一把陽光 是你讓我不怕時間荒唐 你是心動的理由 你是心動的理由 一句玩笑變成了天堂 只有你能讓美夢都猖狂 都瘋狂 你是心動的理由 將一個逗點變成了遠方 你還是我 最想要一起去的流浪 多麽希望 讓想念有收留的方向,暖心抒情・流行情歌群,0.4295953,0.44372368,0.3781729,0.3497939,0.36173257,0.33266482,1
#敢 有色眼光,高爾宣,https://www.kkbox.com/tw/tc/song/4rrRDX4QSSJLohNDB8,高爾宣 OSN,高爾宣 OSN、Skot Suyama 陶山,Skot Suyama 陶山,,所以我打包行 李放在後車廂裡面 我想要環遊這個世界忘掉我的疲倦 因為我 忘記 我有 多麼 獨特 感覺沒開了多久就到午夜掉進銀河 天空又藍又黑 搭配我的型格 I like that 感受 這世界的多色 我們不一樣 不同的謎樣 像那花花綠綠 不同的謎樣 像那花花綠綠 我們不一樣 不刻意掩飾 腮紅的胭脂 不用特別修飾 腮紅的胭脂 不用特別修飾 不刻意掩飾 So let’s get smart~ I'm gonna get smart So let’s get smart~ I'm gonna get smart #敢 有色眼光 So let’s get smart~ I'm gonna get smart So let’s get smart~ I'm gonna get smart #敢 有色眼光,能量爆發・搖滾帶感群,0.29913878,0.43140185,0.34410033,0.3098548,0.4218046,0.3191145,4
（……醉鬼阿Q）（feat. 孫燕姿）,吳青峰 / 孫燕姿,,吳青峰,吳青峰,吳青峰/陳君豪,,"我是個 漫步者 像遊魂 找軀殼
拿香氣 拿回憶 充飢止渴
我是個 食蓮族 採睡蓮 摘蘑菇
花非花 霧非霧 能飲一杯無
（你點點樹就發芽）
（你眨眼門就嘎吱響）
（你看自己會怎樣）
來顛飲這人間
就讓我耍廢 就讓我脫軌
哪怕是眾人皆醒我獨醉
一個小破杯 有宇宙大千
酒鬼躲在細節裡頭 打瞌睡 打瞌睡
我找著 蒸不爛 煮不熟 炒不爆
床墊下 響噹噹 一顆豌豆
我長著 驢耳朵 因為我 不懂得
討好人 去討論 正流行什麼
（這時代崇拜預言）
（越籠統就越準確）
（講中一句就靈驗）
誰販賣著飢餓
我陪你耍廢 我陪你脫軌
最好是眾人皆醒我獨醉
一個小破杯 有宇宙大千
酒鬼躲在細節裡頭 畫圈圈
一圈一圈 一圈一圈 一圈一圈
讓我耍廢 讓我脫軌
最好是眾人皆醒我獨醉
一個破杯 宇宙大千
酒鬼躲在細節裡頭
平行的世界
拎著酒瓶在元宇宙耕田
渺小的精衛 夸父拼命追
如大象獨行鄧林間 別囉嗦
I've said it all
I've said it all
I've said it all
黑了池水 我不後悔
你太瘋癲 我沒意見",能量爆發・搖滾帶感群,0.31899387,0.45478073,0.37756214,0.39471447,0.4303224,0.3873153,4
1個不小心,尚融,https://www.kkbox.com/tw/tc/song/SqOI9L7NV6ObzfYXQS,Shawn尚融/呂尚霖LuuX,Shawn尚融/呂尚霖LuuX,呂尚霖LuuX,Shawn尚融,1 個不小心 跟你 親親 2 個不小心 是我故意 3 點之後請打給我 別打給派偉俊 因為我4真的 喜歡你 5 月的晚霞我不看 6 月的日落我不管 7 夕情人節 帶你吃大餐 8 你帶回家為你做飯 9 是喜歡妳是我的 type 10 在沒法抗拒你的壞 11 住行娛樂 甲你款便便 12 不赦的我 想把你獨佔 1 個不小心 跟你 親親 2 個不小心 是我故意 3 點之後請打給我 別打給派偉俊 因為我4真的 喜歡你 1 個不小心 跟你 親親 2 個不小心 是我故意 3 點之後請打給我 別打給派偉俊 因為我4真的 喜歡你 因為我4真的 喜歡你,節奏律動・嘻哈舞曲群,0.41697645,0.4032239,0.40706545,0.4143263,0.34609085,0.3980595,0
4 In Love,鷺卓,,黃鈞澤/鷺卓,黃鈞澤,,,"4 In Love
深夜想起了你
寫了首Melody
把愛意裝進歌詞替我訴說
用最帥的語氣
唱最溫柔的旋律
不用聚光燈因為愛足夠閃爍
還沒等你開口
我先向你說明
我們的愛不需要海誓山盟證明
即使一無所有
我也會抱緊你
想告訴你遇見你多不容易
海的蔚藍色
如同你眼眸般的清澈
你不動聲色
But I’m falling in love
想給你Double的愛Triple的快樂
把所有的回憶都裝進這首歌
想陪在你的身邊每時每刻
就牽起你的手讓我們Feel the love
Romantic般的story
The story came to be
Romantic般的story
主角就是我和你
外面的花花世界
太多燈紅酒綠  我的注意不會被吸引走
愛像玫瑰我像葉片 你是陽光
愛只能被你拯救
Stop I’m falling in love
想心甘情願成為What you need
一顰一舉影響我Emotion
誇張的舉動引你注意
故意疏離裝高冷的內心
是想你察覺我不安的思緒
海的蔚藍色
如同你眼眸般的清澈
你不動聲色
But I’m falling in love
想給你Double的愛Triple的快樂
把所有的回憶都裝進這首歌
想陪在你的身邊每時每刻
就牽起你的手讓我們Feel the love
Romantic般的story
The story came to be
Romantic般的story
主角就是我和你",心碎系・失戀情緒群,0.44623142,0.38762143,0.44287527,0.34274447,0.28944814,0.3004459,2
